Population,Day,objective,district task cost,district task cost collecting,district task cost sending,district 1 cost,d1 cost collecting,d1 cost sending,district 2 cost,d2 cost collecting,d2 cost sending,district 3 cost,d3 cost collecting,d3 cost sending,district 4 cost,d4 cost collecting,d4 cost sending,transfer taks cost,transshipment center 1 cost,transshipment center 2 cost,major customer task cost,
0,0,234035,129635,59350,70285,30235,12000,18235,23850,10800,13050,38550,19350,19200,37000,17200,19800,92000,32000,60000,12400,
0,1,515190,306390,134250,172140,72940,27000,45940,47250,16950,30300,96600,54300,42300,89600,36000,53600,184000,64000,120000,24800,
0,2,515135,306335,129835,176500,68835,27235,41600,49500,16950,32550,96600,52050,44550,91400,33600,57800,184000,64000,120000,24800,
0,3,516685,307885,132085,175800,67535,27235,40300,49500,16950,32550,100650,54300,46350,90200,33600,56600,184000,64000,120000,24800,
0,4,511655,302855,132085,170770,69705,27235,42470,48150,16950,31200,99000,54300,44700,86000,33600,52400,184000,64000,120000,24800,
0,5,518250,309450,132650,176800,72500,27000,45500,49500,16950,32550,96450,51900,44550,91000,36800,54200,184000,64000,120000,24800,
0,6,323050,189450,85700,103750,42000,18000,24000,34650,15150,19500,62400,30150,32250,50400,22400,28000,115000,40000,75000,18600,
0,7,237300,132900,60650,72250,30000,12000,18000,23850,10800,13050,45450,23850,21600,33600,14000,19600,92000,32000,60000,12400,
0,8,509575,300775,129835,170940,73175,27235,45940,51900,21600,30300,89700,47400,42300,86000,33600,52400,184000,64000,120000,24800,
0,9,519100,310300,132650,177650,69900,27000,42900,47250,16950,30300,99150,51900,47250,94000,36800,57200,184000,64000,120000,24800,
0,10,518250,309450,131850,177600,67300,27000,40300,56400,23850,32550,95550,47400,48150,90200,33600,56600,184000,64000,120000,24800,
0,11,516835,308035,129835,178200,71435,27235,44200,49500,16950,32550,99300,52050,47250,87800,33600,54200,184000,64000,120000,24800,
0,12,515250,306450,132650,173800,66000,27000,39000,51900,21600,30300,94350,47250,47100,94200,36800,57400,184000,64000,120000,24800,
0,13,321000,187400,83650,103750,42000,18000,24000,30000,12900,17100,64800,30150,34650,50600,22600,28000,115000,40000,75000,18600,
0,14,237300,132900,60650,72250,30000,12000,18000,23850,10800,13050,45450,23850,21600,33600,14000,19600,92000,32000,60000,12400,
0,15,514250,305450,131850,173600,67300,27000,40300,55050,23850,31200,92100,47400,44700,91000,33600,57400,184000,64000,120000,24800,
0,16,514320,305520,133050,172470,69470,27000,42470,54150,23850,30300,89700,47400,42300,92200,34800,57400,184000,64000,120000,24800,
0,17,516535,307735,129835,177900,67535,27235,40300,49500,16950,32550,99300,52050,47250,91400,33600,57800,184000,64000,120000,24800,
0,18,518450,309650,131850,177800,69900,27000,42900,56400,23850,32550,91950,47400,44550,91400,33600,57800,184000,64000,120000,24800,
0,19,513350,304550,131850,172700,67300,27000,40300,54150,23850,30300,92100,47400,44700,91000,33600,57400,184000,64000,120000,24800,
0,20,323050,189450,85700,103750,42000,18000,24000,34650,15150,19500,62400,30150,32250,50400,22400,28000,115000,40000,75000,18600,
0,21,237300,132900,60650,72250,30000,12000,18000,23850,10800,13050,45450,23850,21600,33600,14000,19600,92000,32000,60000,12400,
0,22,511635,302835,129835,173000,66235,27235,39000,51900,21600,30300,92100,47400,44700,92600,33600,59000,184000,64000,120000,24800,
0,23,517350,308550,131850,176700,71200,27000,44200,56400,23850,32550,91950,47400,44550,89000,33600,55400,184000,64000,120000,24800,
0,24,513520,304720,131850,172870,69470,27000,42470,54150,23850,30300,89700,47400,42300,91400,33600,57800,184000,64000,120000,24800,
0,25,519500,310700,131850,178850,73800,27000,46800,54150,23850,30300,91950,47400,44550,90800,33600,57200,184000,64000,120000,24800,
0,26,512340,303540,132600,170940,72940,27000,45940,51900,21600,30300,89700,47400,42300,89000,36600,52400,184000,64000,120000,24800,
0,27,323050,189450,85700,103750,42000,18000,24000,34650,15150,19500,62400,30150,32250,50400,22400,28000,115000,40000,75000,18600,
0,28,237300,132900,60650,72250,30000,12000,18000,23850,10800,13050,45450,23850,21600,33600,14000,19600,92000,32000,60000,12400,
0,29,513250,304450,131850,172600,66000,27000,39000,50400,19200,31200,97050,52050,45000,91000,33600,57400,184000,64000,120000,24800,
0,30,514850,306050,131850,174200,71200,27000,44200,54150,23850,30300,89700,47400,42300,91000,33600,57400,184000,64000,120000,24800,
1,0,547950,330350,109650,220700,73800,15000,58800,45450,15150,30300,104700,54300,50400,106400,25200,81200,199000,64000,135000,18600,
1,1,365720,247120,67120,180000,56670,12470,44200,51150,19500,31650,38100,4350,33750,101200,30800,70400,100000,40000,60000,18600,
1,2,546655,282055,131355,150700,57705,21705,36000,43350,23850,19500,104400,52200,52200,76600,33600,43000,246000,96000,150000,18600,
1,3,494935,286135,116350,169785,66235,24000,42235,39000,19500,19500,78300,30450,47850,102600,42400,60200,184000,64000,120000,24800,
1,4,398450,267650,131700,135950,63000,36000,27000,44250,18600,25650,63600,33900,29700,96800,43200,53600,106000,16000,90000,24800,
1,5,426950,269350,108350,161000,56200,15000,41200,37650,15150,22500,96300,55800,40500,79200,22400,56800,139000,64000,75000,18600,
1,6,464000,301200,117650,183550,57000,30000,27000,53100,24750,28350,78300,32100,46200,112800,30800,82000,138000,48000,90000,24800,
1,7,420700,234900,109450,125450,57000,21000,36000,32550,17400,15150,78150,34650,43500,67200,36400,30800,161000,56000,105000,24800,
1,8,512800,251000,102600,148400,48000,9000,39000,58650,23850,34800,84750,49950,34800,59600,19800,39800,237000,72000,165000,24800,
