iteration, p, s, N1, X1, p(X>x1), N2, X1, p(X>x2), N3, X3, p(X>x3), pf = p(X>x1)*p(X>x2)*p(X>x3)
100, 0, 0, 166, 87, 0.242478, 45, 44, 0.000000, 1, 0, 0.500000, 0.000000
100, 0, 1, 615, 341, 0.003031, 147, 136, 0.000000, 15, 5, 0.849121, 0.000000
100, 0, 2, 609, 347, 0.000241, 151, 143, 0.000000, 14, 4, 0.910217, 0.000000
100, 0, 3, 634, 377, 0.000001, 172, 154, 0.000000, 10, 4, 0.623047, 0.000000
100, 0, 4, 526, 325, 0.000000, 126, 123, 0.000000, 15, 4, 0.940765, 0.000000
100, 0, 5, 593, 369, 0.000000, 119, 110, 0.000000, 16, 7, 0.598190, 0.000000
100, 0, 6, 575, 345, 0.000001, 115, 109, 0.000000, 13, 6, 0.500000, 0.000000
100, 0, 7, 683, 374, 0.005751, 131, 127, 0.000000, 15, 7, 0.500000, 0.000000
100, 0, 8, 620, 336, 0.016605, 139, 136, 0.000000, 16, 5, 0.894943, 0.000000
100, 0, 9, 609, 371, 0.000000, 132, 123, 0.000000, 9, 5, 0.253906, 0.000000
100, 0, 10, 634, 354, 0.001433, 137, 127, 0.000000, 19, 4, 0.990395, 0.000000
100, 0, 11, 586, 347, 0.000003, 96, 92, 0.000000, 13, 5, 0.709473, 0.000000
100, 0, 12, 555, 334, 0.000001, 109, 104, 0.000000, 13, 8, 0.133423, 0.000000
100, 0, 13, 610, 340, 0.002004, 152, 140, 0.000000, 9, 5, 0.253906, 0.000000
100, 0, 14, 638, 380, 0.000001, 116, 111, 0.000000, 13, 3, 0.953857, 0.000000
100, 0, 15, 586, 350, 0.000001, 165, 162, 0.000000, 4, 3, 0.062500, 0.000000
100, 0, 16, 590, 373, 0.000000, 112, 106, 0.000000, 15, 5, 0.849121, 0.000000
100, 0, 17, 586, 339, 0.000059, 113, 108, 0.000000, 12, 6, 0.387207, 0.000000
100, 0, 18, 659, 372, 0.000398, 134, 123, 0.000000, 13, 6, 0.500000, 0.000000
100, 0, 19, 646, 376, 0.000012, 127, 117, 0.000000, 14, 6, 0.604736, 0.000000
100, 0, 20, 562, 357, 0.000000, 132, 121, 0.000000, 13, 5, 0.709473, 0.000000
100, 0, 21, 626, 338, 0.020714, 128, 128, 0.000000, 13, 4, 0.866577, 0.000000
100, 0, 22, 602, 363, 0.000000, 143, 128, 0.000000, 9, 4, 0.500000, 0.000000
100, 0, 23, 523, 315, 0.000001, 134, 131, 0.000000, 13, 3, 0.953857, 0.000000
100, 0, 24, 574, 341, 0.000003, 167, 154, 0.000000, 14, 6, 0.604736, 0.000000
100, 0, 25, 635, 382, 0.000000, 134, 127, 0.000000, 17, 6, 0.833847, 0.000000
100, 0, 26, 647, 350, 0.016838, 161, 147, 0.000000, 14, 5, 0.788025, 0.000000
100, 0, 27, 554, 324, 0.000026, 148, 142, 0.000000, 12, 2, 0.980713, 0.000000
100, 0, 28, 531, 329, 0.000000, 138, 125, 0.000000, 14, 7, 0.395264, 0.000000
100, 0, 29, 586, 346, 0.000005, 158, 147, 0.000000, 15, 13, 0.000488, 0.000000
100, 0, 30, 591, 334, 0.000657, 123, 116, 0.000000, 12, 4, 0.806152, 0.000000
100, 0, 31, 573, 343, 0.000001, 105, 102, 0.000000, 8, 3, 0.636719, 0.000000
100, 0, 32, 571, 291, 0.307788, 171, 162, 0.000000, 13, 7, 0.290527, 0.000000
100, 0, 33, 562, 325, 0.000084, 143, 127, 0.000000, 10, 5, 0.376953, 0.000000
